date,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2021-05-05,,3296.08,3296.08,3296.08,3296.08,3296.08,3296.08,3296.08,3293.8896,3291.6902,3291.6902,3291.6902,3332.3384,3332.3384,3332.3384,3332.3384,3332.3384,3332.3384,3333.1865,3394.0078,3442.3591,3448.029,3412.3696,3492.5637
2021-05-06,3508.8457,3485.5144,3494.2502,3480.7349,3481.256,3442.692,3446.9062,3417.6365,3434.8894,3431.418,3461.3608,3505.1484,3495.6416,3486.3452,3487.7505,3493.1536,3527.7905,3553.7517,3576.0166,3478.398,3488.1624,3446.895,3494.314,3533.4236
2021-05-07,3496.4734,3499.7104,3453.3003,3430.833,3413.7358,3416.4863,3421.5427,3444.6387,3429.6453,3435.7107,3464.3472,3447.0208,3444.8853,3499.3127,3486.7732,3508.748,3567.9734,3559.7273,3531.453,3539.124,3507.9663,3490.0027,3491.323,3436.508
2021-05-08,3487.6975,3521.757,3550.5312,3521.412,3543.0718,3554.969,3536.3228,3520.7195,3545.8333,3554.513,3569.845,3538.7075,3521.1843,3566.893,3640.6885,3659.4602,3644.7346,3795.663,3833.3186,3811.5813,3807.31,3837.2424,3910.5115,3903.231
2021-05-09,3883.809,3846.7034,3883.9534,3845.226,3881.6128,3887.1243,3881.3643,3947.2349,3925.1775,3930.196,3904.1663,3914.4614,3862.5828,3744.7485,3809.9282,3830.9626,3876.9443,3921.099,3896.832,3890.7,3855.7178,3909.1567,3896.054,3885.3894
2021-05-10,3899.749,3918.148,3938.142,3950.6545,4051.244,4071.994,4121.92,4126.641,4072.2822,4155.863,4091.4094,4038.4172,4071.204,4110.1826,4127.185,4057.4553,4175.0127,4149.642,4157.951,4130.765,3971.3074,3886.3538,4031.7598,4023.7283
2021-05-11,3954.7832,3855.976,3892.1365,3810.038,3767.3384,3907.58,3890.6443,3943.6682,3940.5056,3943.595,4017.9426,4051.4746,3973.916,3946.1362,3971.0522,4005.2632,4017.31,4005.11,4047.5146,4060.4736,4047.6711,4128.0703,4105.4224,4131.3784
2021-05-12,4159.8057,4194.3467,4196.047,4266.615,4357.506,4319.5576,4324.5063,4294.9253,4310.822,4313.626,4282.422,4232.8125,4268.5215,4311.82,4284.0044,4309.59,4185.0835,4155.6123,4124.1694,4016.7961,4073.8438,4085.833,4130.1587,4186.8105
2021-05-13,3782.6213,3902.835,3986.1965,3992.6392,3935.7021,3920.8052,4009.5059,4023.8425,3966.06,3839.777,3677.4058,3613.9673,3755.1348,3828.3352,3869.635,3846.7932,3751.942,3717.79,3683.9827,3617.509,3653.6067,3704.915,3759.0635,3688.449
2021-05-14,3702.009,3818.1204,3859.3577,3800.3223,3782.4646,3782.2131,3852.5962,3816.6902,3866.3105,3929.2397,3970.4355,3972.7812,4000.0188,4006.1902,4095.456,4095.9536,4150.834,4107.377,4121.193,4093.796,4070.8555,4013.6855,4026.5093,4057.7747
2021-05-15,4071.4358,4033.0369,4095.4392,4061.4038,4052.6907,4008.197,4015.545,3968.953,3906.243,3925.683,3880.1152,3835.2515,3906.2034,3934.0386,3884.847,3904.8435,3873.8545,3748.537,3747.464,3759.134,3751.3901,3788.9165,3795.9673,3767.1853
2021-05-16,3652.309,3761.8547,3839.6333,3813.1304,3828.112,3803.0488,3801.2703,3889.1658,3838.5564,3801.5325,3830.8606,3850.8853,3812.4275,3718.2935,3731.202,3673.1392,3635.5742,3574.4348,3602.1655,3495.5452,3410.5933,3361.0151,3476.6057,3531.8665
2021-05-17,3591.5208,3472.7466,3432.9766,3367.4363,3241.7585,3324.5847,3346.0552,3403.2905,3542.1233,3536.441,3532.161,3445.7434,3520.6863,3468.387,3463.762,3406.6458,3278.506,3201.5466,3186.968,3372.9604,3380.217,3438.3228,3281.7202,3228.0974
2021-05-18,3291.0112,3365.6497,3411.4346,3404.8828,3403.679,3516.0818,3523.8481,3484.994,3512.4111,3477.8892,3459.024,3514.0615,3533.471,3427.052,3363.5479,3293.7,3339.409,3411.1719,3403.343,3353.2542,3389.1746,3442.7227,3394.7795,3365.0667
2021-05-19,3376.539,3352.3286,3193.8606,3103.4783,3112.7139,2891.356,2948.2944,2946.0078,2983.728,2994.9895,2980.7996,2851.572,2720.2622,2246.4941,2376.8025,2522.5527,2728.811,2839.446,2771.9136,2603.3076,2608.0164,2535.4773,2590.2998,2681.7083
2021-05-20,2463.8699,2191.2473,2335.2747,2478.9302,2473.6655,2555.5044,2659.1582,2680.288,2717.7935,2680.7195,2663.9333,2699.3772,2757.8408,2902.0308,2894.279,2909.6602,2891.4978,2722.7742,2753.4734,2786.26,2783.7449,2739.3306,2820.37,2847.5884
2021-05-21,2767.4377,2902.8,2887.754,2853.9717,2783.4653,2787.2478,2767.3354,2753.4575,2674.6074,2713.0063,2749.6416,2706.8823,2719.5654,2647.5732,2732.1565,2508.668,2413.3457,2445.6453,2477.7,2462.308,2356.1553,2268.0322,2380.0857,2382.6711
2021-05-22,2423.5088,2462.1348,2451.2834,2386.0002,2327.7102,2278.6814,2237.9292,2233.804,2242.8591,2364.575,2371.1653,2473.3992,2425.7654,2402.5225,2440.48,2355.2292,2375.1965,2347.8647,2290.885,2292.9014,2272.6624,2363.7212,2375.2336,2342.1677
2021-05-23,2294.7153,2347.0908,2359.1968,2302.639,2326.7256,2278.741,2230.936,2197.3264,2156.608,2038.5797,2033.3181,2124.942,2117.7078,1932.2909,1960.5521,1961.2102,1923.6735,1841.3602,1903.4432,1899.0392,1973.9227,2076.3984,2103.4707,2059.1147
2021-05-24,2112.9668,2138.6543,2124.0872,2169.5144,2153.6155,2115.2048,2121.2974,2186.232,2299.1145,2283.8274,2252.3345,2262.925,2371.4197,2426.922,2382.3801,2436.5513,2525.2717,2457.1804,2538.285,2544.5625,2657.3105,2627.3691,2593.9844,2578.125
2021-05-25,2631.4314,2715.7866,2667.324,2562.742,2597.7307,2593.7307,2573.541,2657.8552,2663.6152,2581.2625,2546.3667,2456.6602,2403.0667,2463.4548,2539.4116,2584.977,2620.0623,2593.2222,2591.1506,2598.1604,2524.5432,2549.314,2621.811,2706.0618
2021-05-26,2708.7583,2691.068,2773.5476,2815.4277,2846.7773,2804.0547,2817.114,2887.9773,2897.1785,2835.3467,2864.8745,2825.2864,2838.3289,2842.2776,2703.1277,2744.9414,2746.517,2702.2522,2720.0261,2755.7925,2739.69,2803.6926,2816.9133,2842.6519
2021-05-27,2883.092,2801.815,2685.949,2702.9592,2677.2053,2690.919,2742.7598,2743.1191,2734.0757,2760.0017,2782.9673,2778.7283,2821.4907,2786.1023,2829.4583,2858.2688,2805.8088,2770.9324,2776.605,2793.0042,2743.9414,2723.911,2765.6995,2754.312
2021-05-28,2742.6448,2703.1094,2696.943,2730.9072,2701.478,2654.9656,2564.859,2544.1418,2567.583,2494.882,2492.691,2492.531,2441.84,2565.4272,2586.5464,2549.6155,2555.2578,2479.7673,2490.3848,2518.3118,2496.68,2437.9043,2369.8684,2377.1843
2021-05-29,2406.6765,2493.328,2527.299,2502.6006,2513.6768,2471.5264,2556.9885,2524.4722,2486.3655,2463.2756,2422.7358,2419.403,2441.6482,2383.4639,2393.4924,2360.2305,2313.1514,2365.9788,2271.9153,2257.851,2247.2922,2223.0398,2276.9602,2254.4878
2021-05-30,2277.5562,2226.4263,2226.8164,2261.9346,2300.7266,2297.6082,2378.3625,2433.9148,2460.879,2432.022,2429.7578,2401.8015,2455.9915,2393.5938,2378.1287,2349.732,2385.2642,2407.7139,2432.8464,2464.1587,2440.524,2435.6023,2420.0671,2406.389
2021-05-31,2382.437,2354.03,2300.9373,2311.0166,2306.2698,2300.4316,2320.7021,2389.2998,2456.1453,2487.973,2488.5674,2560.227,2568.681,2541.4304,2531.4937,2554.0547,2637.3054,2629.2031,2618.9883,2598.4854,2621.6367,2598.7297,2629.1719,2647.7175
2021-06-01,2699.8574,2721.0667,2661.9973,2646.4495,2622.6138,2639.1924,2691.8708,2661.4297,2654.416,2562.8555,2567.062,2595.3394,2613.9695,2559.352,2625.2727,2582.9053,2576.5244,2540.9966,2559.2126,2562.7605,2548.5715,2575.8025,2595.5718,2593.6829
